type,timestamp,cluster,node,sourceip,user,latitude,longitude,city,country
INVALID_USER,2019-03-28T03:58:39.748Z,pc475,serv23,UNKNOWN,other
INVALID_USER,2019-03-28T03:58:38.738Z,pc502,node-59,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:38.738Z,pc256,ppt,UNKNOWN,UNKNOWN
INVALID_USER,2019-03-28T03:58:38.738Z,pc256,ppt,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:38.738Z,pc458,serv6,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:58:38.738Z,pc858,receiver1,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:39.564Z,c220g5-111326,cp-9,128.199.244.39,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:39.749Z,pcvm603-7,vm1,209.146.20.162,UNKNOWN
DISCONNECT_INVALID_USER,2019-03-28T03:58:39.750Z,pc505,vhost-0,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:39.750Z,pc537,node-57,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:39.748Z,pc429,node-74,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:39.749Z,pc313,pc313,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:39.749Z,pc800,n1,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:58:38.737Z,pc441,node-23,209.146.20.162,other
NO_IDENTIFICATION,2019-03-28T03:58:40.566Z,c220g2-010615,node3,120.92.147.56,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:40.813Z,pc848,client,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:40.812Z,pc460,node-4,209.146.20.162,UNKNOWN
DISCONNECT_INVALID_USER,2019-03-28T03:58:41.821Z,pc289,pc289,209.146.20.162,other
INVALID_USER,2019-03-28T03:58:40.812Z,pc848,client,209.146.20.162,other
INVALID_USER,2019-03-28T03:58:40.977Z,hp154,node7,UNKNOWN,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:41.821Z,pc467,serv1,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:40.813Z,pc529,node-65,209.146.20.162,UNKNOWN
DISCONNECT_INVALID_USER,2019-03-28T03:58:40.977Z,ms0709,node-0,117.50.61.112,other
INVALID_USER,2019-03-28T03:58:40.813Z,pc859,host,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:41.821Z,pc534,node-6,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:40.813Z,pc848,client,209.146.20.162,UNKNOWN
DISCONNECT_INVALID_USER,2019-03-28T03:58:40.813Z,pc613,vhost-0,209.146.20.162,other
FAILED_PASSWORD,2019-03-28T03:58:41.821Z,pc616,node,218.92.0.157,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:41.821Z,pc558,node-67,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:58:40.813Z,pc780,node-13,UNKNOWN,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:49.133Z,pc213,localhost,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:58:49.132Z,pc775,pc775,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:49.133Z,pc761,pc761,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:58:49.131Z,pc761,pc761,209.146.20.162,other
INVALID_USER,2019-03-28T03:58:49.133Z,pc774,pc774,209.146.20.162,other
INVALID_USER,2019-03-28T03:58:49.132Z,pc531,node-16,209.146.20.162,other
INVALID_USER,2019-03-28T03:58:49.133Z,pc745,pc745,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:49.133Z,pc544,node-37,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:49.133Z,pc281,pc281,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:49.133Z,pc535,node-43,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:49.133Z,nuc21,node,188.213.171.193,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:49.133Z,pc484,node-49,220.130.221.140,UNKNOWN
INVALID_USER,2019-03-28T03:58:49.131Z,pc761,pc761,UNKNOWN,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:49.133Z,pc469,serv9,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:49.133Z,pc535,node-43,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:50.857Z,c220g2-010831,localhost,106.12.208.152,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:51.243Z,knvm0-3,kn-collector,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:58:50.197Z,pc531,node-16,209.146.20.162,other
INVALID_USER,2019-03-28T03:58:50.196Z,pc816,dst1,UNKNOWN,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:50.196Z,pc832,node-0,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:58:51.244Z,pc759,s3,209.146.20.162,other
INVALID_USER,2019-03-28T03:58:50.197Z,kn4,kn4,209.146.20.162,other
INVALID_USER,2019-03-28T03:58:51.244Z,pc439,node-50,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:50.197Z,pc847,node-0,87.98.165.140,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:50.197Z,pc531,node-16,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:50.197Z,pc777,pc777,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:58:51.244Z,pc760,s2,UNKNOWN,other
INVALID_USER,2019-03-28T03:58:49.848Z,c220g1-031106,vhost-15,216.250.114.234,other
INVALID_USER,2019-03-28T03:58:50.159Z,hp084,demeter1,180.76.147.15,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:51.244Z,pc260,h5,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:50.197Z,pc256,ppt,119.29.247.225,UNKNOWN
INVALID_USER,2019-03-28T03:58:51.244Z,nuc21,node,209.146.20.162,other
DISCONNECT_INVALID_USER,2019-03-28T03:58:51.244Z,pc808,localhost,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:50.197Z,pc775,pc775,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:58:51.244Z,pc281,pc281,UNKNOWN,other
INVALID_USER,2019-03-28T03:58:51.244Z,pc816,dst1,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:50.857Z,c220g1-031106,vhost-15,216.250.114.234,UNKNOWN
INVALID_USER,2019-03-28T03:58:50.197Z,pc853,node4,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:50.197Z,pc775,pc775,209.146.20.162,UNKNOWN
FAILED_PASSWORD,2019-03-28T03:58:51.243Z,knvm0-3,kn-collector,209.146.20.162,other
NEW_SESSION,2019-03-28T03:58:51.244Z,pc255,localhost,UNKNOWN,other
INVALID_USER,2019-03-28T03:58:50.197Z,pcvm603-6,www,UNKNOWN,other
INVALID_USER,2019-03-28T03:58:51.244Z,pc260,h5,209.146.20.162,other
INVALID_USER,2019-03-28T03:58:50.197Z,pc415,serv27,209.146.20.162,other
DISCONNECT_INVALID_USER,2019-03-28T03:58:50.857Z,c220g1-031106,vhost-15,216.250.114.234,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:50.197Z,pc256,ppt,119.29.247.225,UNKNOWN
